Question,Answer
Chi tiết về các lần tu sửa chùa Cam Lộ?,"Khi đó chùa Cam Lộ đã hư hỏng, dột nát, Lý Lợi liền cho người mua gỗ về sửa chữa lại ngôi chùa và chuyển toàn bộ tượng phật bằng đá vào trong chùa."
Đền Thượng có tên gọi khác là gì?,Không có thông tin về tên gọi khác của Đền Thượng trong đoạn văn.
Đền Thượng tọa lạc tại vị trí nào?,"Đền Thượng nằm tại phường Lào Cai, thành phố Lào Cai, tỉnh Lào Cai, cạnh sông Nậm Thi."
Đền Thượng thờ ai?,Đền Thượng thờ Hưng Đạo Đại Vương - Trần Quốc Tuấn.
Những ngôi chùa nào đạt di tích lịch sử cấp quốc gia?,"Đền Thượng, Đền Bảo Hà, Đền Mẫu Sơn Sa pa, Đền Cô Tân An (được xếp hạng Di tích Lịch sử Văn hoá cấp Quốc gia)."
Chùa Tân Bảo tọa lạc tại vị trí nào?,"Chùa Tân Bảo tọa lạc tại Tổ 7, phường Lào Cai, thành phố Lào Cai, tỉnh Lào Cai."
Đền Mẫu Lào Cai thờ ai?,Đền Mẫu Lào Cai thờ Thánh Mẫu Liễu Hạnh công chúa.
Đền Mẫu Lào Cai tọa lạc tại vị trí nào?,"Đền Mẫu tọa lạc tại vị trí cột mốc biên giới Việt - Trung số 10, cách đền Thượng 50 m."
Đền Đôi Cô có tên gọi khác là gì?,Đền Đôi Cô còn được người dân gọi với tên gọi khác đó là đền “Cô Đôi” Cam Đường.
Đền Đôi Cô tọa lạc tại vị trí nào?,"Đền Đôi Cô tọa lạc thôn Chiềng On, phường Bình Minh, thành phố Lào Cai."
Đền Đôi Cô tổ chức lễ hội vào ngày nào?,"Đền Đôi Cô thường có 2 dịp lễ thu hút nhiều du khách như: Lễ tết thượng nguyên vào ngày 10/1 (âm lịch), Lễ chính của đền Đôi Cô vào ngày 13/9 (âm lịch)."
Đền Bảo Hà tọa lạc tại vị trí nào?,"Đền Bảo Hà tọa lạc dưới chân đồi Cấm, bên tả ngạn sông Hồng thuộc địa phận xã Bảo Hà, huyện Bảo Yên, tỉnh Lào Cai."
Đền Bảo Hà tổ chức lễ hội vào ngày nào?,"Đền Bảo Hà thường có 4 dịp lễ thu hút nhiều du khách trong đó những ngày lễ chính là: Lễ thượng nguyên (Rằm tháng Giêng), lễ tiệc quan tuần tranh (25 tháng 5 Âm lịch), ngày giỗ ông Hoàng Bảy (17 tháng 7 Âm lịch), lễ Tết muộn (Tết tất niên)."
Đền Cô Tân An tọa lạc tại vị trí nào?,"Đền Cô Tân An, thuộc xã Tân An, huyện Văn Bàn, tỉnh Lào Cai."
Đền Cô Tân An thờ ai?,Đền Cô Tân An là nơi thờ tự một nữ chúa Thượng Ngàn có tên Nguyễn Hoàng Bà Xa.
Đền Mẫu Sơn Sa pa tọa lạc tại vị trí nào?,"Đền Mẫu Sơn tọa lạc tại tổ 4a, đường Thạch Sơn, thị trấn Sapa."
Đền Mẫu Sơn Sa pa thờ ai?,Bên trong đền Mẫu Sơn thờ công chúa Liễu Hạnh.
Đền mẫu Thượng Ngàn tọa lạc tại vị trí nào?,"Đền mẫu Thượng Ngàn nằm tọa lạc tại tổ 11, thị trấn Sa Pa."
Đền mẫu Thượng Ngàn thờ ai?,"Đền mẫu Thượng Ngàn là nơi thờ Công chúa Liễu Hạnh, bà chúa Thượng Ngàn."
Đền Hàng Phố tọa lạc tại vị trí nào?,"Đền Hàng Phố tọa lạc tại số 32, đường Fansipan Sa Pa, cách trung tâm thị trấn Sa Pa khoảng 50m."
Đền Hàng Phố thờ ai?,Đền Hàng Phố thờ Đức Thánh Trần Hưng Đạo.
Đền Hàng Phố tổ chức lễ hội vào ngày nào?,"Hàng năm, Đền Hàng Phố thường tổ chức ngày lễ chính vào ngày 20 tháng 8 (Âm lịch)."
Những ngôi chùa nào ở tỉnh Vĩnh Phúc?,Không có thông tin về các ngôi chùa ở tỉnh Vĩnh Phúc trong đoạn văn.
Những ngôi chùa nào thờ đức thánh Tản Viên?,Không có thông tin về các ngôi chùa thờ đức thánh Tản Viên trong đoạn văn.
Những ngôi chùa nào đạt di tích lịch sử cấp tỉnh?,Đền Cô Tân An - Di tích lịch sử cấp tỉnh.
Quần thể tâm linh Fansipan có kiến trúc gì đặc biệt?,"Quần thể tâm linh Fansipan gồm 12 công trình kiến trúc văn hoá mang dáng dấp của những ngôi chùa Việt cổ xưa từ thế kỷ 15, 16. Tất cả các công trình đều được kiến tạo kỳ công từ các vật liệu tự nhiên như gỗ tứ thiết, đá xanh nguyên khối, đất nung phủ men…, có kích thước hạn chế, bám theo thế đất, tựa vào non cao."
Quần thể tâm linh Fansipan được xây dựng từ vật liệu nào?,"Quần thể tâm linh Fansipan được kiến tạo từ các vật liệu tự nhiên như gỗ tứ thiết, đá xanh nguyên khối, đất nung phủ men…"
Đền Mẫu Sơn Sa pa có bao nhiêu năm tuổi?,Đền Mẫu Sơn Sa pa đã có hơn 200 năm tuổi.
Động Nhị Thanh tọa lạc tại vị trí nào?,"Động Nhị Thanh cách ngã 6 Pò Soài khoảng 200m, đi theo đường Nhị Thanh."
Động Nhị Thanh được khám phá và tôn tạo bởi ai?,Động Nhị Thanh được danh nhân Ngô Thì Sỹ khám phá và tôn tạo.
Ngô Thì Sỹ khám phá và tôn tạo Động Nhị Thanh vào thời gian nào?,Ngô Thì Sỹ khám phá và tôn tạo Động Nhị Thanh từ năm 1777 – 1780.
Ngô Thì Sỹ đã xây dựng những công trình nào?,"Ngô Thì Sỹ đã xây dựng chùa Tam Giáo, Đình duyệt Quân, Thạch Miên Am, Thụy Tuyền Hiên, Trai Táo."
Chùa Tam Giáo thờ những tôn giáo nào?,"Chùa Tam Giáo thờ Nho Giáo, Đạo Giáo và Phật Giáo (tam giáo đồng nguyên)."
Chùa Tam Giáo được xây dựng vào năm nào?,Chùa Tam Giáo được Ngô Thì Sỹ hưng công xây dựng năm Kỷ Hợi (1779).
Chùa Tam Giáo có những cung thờ nào?,"Hiện nay trong chùa có các cung thờ như: Cung Công Đồng, Cung Tam Tòa Thánh Mẫu, Cung Sơn Trang, Cung Tam Bảo..."
Chùa Bắc Nga tọa lạc tại vị trí nào?,"Chùa Bắc Nga thuộc thôn Bắc Nga, xã Gia Cát, huyện Cao Lộc, nằm trên trục đường 4B (Lạng Sơn – Lộc Bình) và bên dòng sông Kỳ Cùng (đoạn xã Gia Cát), cách thành phố Lạng Sơn 12 km về hướng đông nam."
Chùa Bắc Nga tổ chức lễ hội vào ngày nào?,Chùa Bắc Nga tổ chức lễ hội vào ngày 15 tháng Giêng hàng năm.
Chùa Bắc Nga có kiến trúc gì đặc biệt?,"Kiến trúc trong chùa bài trí khá đơn giản, tuy không thật sự bề thế như nhiều ngôi chùa khác."
Chùa Bắc Nga thờ ai?,"Chùa Bắc Nga thờ Tiên, rồi thờ Phật."
"Chùa Bắc Nga có những gian, tòa nào?",Thông tin này không có trong đoạn văn.
Những câu chuyện liên quan tới chùa Bắc Nga?,"Nơi đây cảnh đẹp, thường có bầy tiên nữ bay về hái hoa, bắt bướm và tắm ở khúc sông Kỳ Cùng này. Sau đó, nhân dân trong vùng đã góp công, góp của xây dựng Miếu thờ Tiên tại đây với mong muốn các tiên nữ phù hộ cho dân làng một cuộc sống bình an hạnh phúc."
Chùa Bắc Nga có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Chùa Bắc Nga từ lâu đã nổi tiếng linh thiêng, thu hút rất nhiều du khách thập phương đến tham quan và nguyện cầu, nhất là ngày hội chùa Bắc Nga."
Chùa Tam Thanh tọa lạc tại vị trí nào?,"Chùa Tam Thanh nằm trong Quần thể danh thắng Nhị Thanh - Động Tam Thanh - Núi Tô Thị - Thành Nhà Mạc, thuộc về thành phố Lạng Sơn, phường Tam Thanh, tỉnh Lạng Sơn. Nơi này cách trung tâm thủ đô Hà Nội chừng 160km, hướng về phía đông bắc."
Chùa Tam Thanh được xây dựng từ khi nào?,"Theo các tài liệu nghiên cứu sử học, chùa Tam Thanh được có từ thời nhà Lê."
Chùa Tam Thanh tổ chức lễ hội vào ngày nào?,"Những ngày đầu năm, cụ thể ngày 15 và 16 tháng Giêng hàng năm nơi đây diễn ra rất nhiều nghi lễ đặc sắc."
Chùa Tam Thanh đã qua bao nhiêu lần tu sửa?,Thông tin này không có trong đoạn văn.
Chùa Tam Thanh có kiến trúc gì đặc biệt?,"Tam Thanh là một ngôi chùa đặc biệt, được bố trí trong hang đá, không giống như những ngôi chùa khác. Qua cách sắp xếp, bài trí tượng có thể thấy hệ thống thờ tự được sắp xếp theo kiểu ""tiền Phật hậu Thánh""."
"Chùa Tam Thanh có những bảo vật, hiện vật quý giá nào?","Chùa vẫn giữ được nhiều các di tích, bia đá cổ rất có giá trị. Tấm bia có niên đại cổ nhất ở chùa hiện nay là bia “Trùng tu Thanh Thiền động”, được chế tác vào năm Vĩnh Trị thứ 2 (1677)."
Những ngôi chùa nào đạt di tích lịch sử cấp quốc gia?,Thông tin này không có trong đoạn văn.
Chùa Tam Thanh thờ ai?,"Về sau bị ảnh hưởng bởi nhiều yếu tố nên Đạo giáo trở nên mờ nhạt trong tiềm thức của người dân, dần dần chùa được đưa thêm Phật giáo và thờ thánh vào trong di tích. Qua cách sắp xếp, bài trí tượng có thể thấy hệ thống thờ tự được sắp xếp theo kiểu ""tiền Phật hậu Thánh""."
Chi tiết về lễ hội chùa Tam Thanh?,"Những ngày đầu năm, cụ thể ngày 15 và 16 tháng Giêng hàng năm nơi đây diễn ra rất nhiều nghi lễ đặc sắc. Nên thu hút nhiều du khách từ xa đến dâng hương và cầu nguyện một năm mới thịnh vượng."
Chùa Tân Thanh tọa lạc tại vị trí nào?,"Chùa Tân Thanh nằm ở khu vực cửa khẩu Tân Thanh thuộc xã Tân Thanh, huyện Văn Lãng, tỉnh Lạng Sơn."
Chùa Tân Thanh được xây dựng từ khi nào?,Ngôi chùa được khởi công năm 2015.
Diện tích của chùa Tân Thanh là bao nhiêu?,Diện tích của chùa Tân Thanh là 21ha.
Chùa Tân Thanh có kiến trúc gì đặc biệt?,"Chùa Tân Thanh có kiến trúc thuần Việt, đậm đà nét văn hóa Bắc Bộ cổ truyền. Tất cả viên gạch xây dựng chùa đều được đúc chữ “Cộng hòa Xã hội chủ nghĩa Việt Nam - Phật Lịch 2559 khởi tạo chùa Tân Thanh”."
"Chùa Tân Thanh có những gian, tòa nào?","Chùa Tân Thanh gồm 3 khu: Điện thờ chính (cung Tam Bảo), điện thờ Đức Thánh Trần, điện thờ Đức Thánh Mẫu và Tam Quan."
Chùa Tân Thanh thờ ai?,"Chùa Tân Thanh thờ Phật, Đức Thánh Trần và Đức Thánh Mẫu."
Những ngôi chùa nào gần ngôi chùa Tân Thanh?,Đền Mẫu Đồng Đăng
Những ngôi chùa nào ở tỉnh Lạng Sơn?,"Chùa Tân Thanh, Đền Mẫu Đồng Đăng"
"Chi tiết về các bảo vật, hiện vật?","Trung tâm sảnh của chùa được bài trí chiếu rồng bằng đá, chạm trổ hình rồng thời Lý trên phiến đá nặng trên 90 tấn. Khuôn viên chùa có trên 100 pho tượng cùng không gian xanh mát với khoảng 1.000 cây xanh các loại."
Chùa Tân Thanh có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Chùa Tân Thanh là một điểm đến tâm linh của Lạng Sơn, biểu tượng văn hóa, tâm linh của người Việt và là thông điệp về sự chân thành, lòng từ bi theo tinh thần Phật giáo, tình hữu nghị, cam kết cùng phát triển của nhân dân Việt Nam với cộng đồng quốc tế."
Chùa Tân Thanh đạt di tích lịch sử cấp nào?,Năm 2022 chùa Tân Thanh đã được công nhận là điểm du lịch của tỉnh Lạng Sơn.
Ai là người đứng đầu đầu tiên của chùa Tân Thanh?,"Thượng tọa Thích Quảng Truyền - Trưởng ban Trị sự Ban Trị sự Giáo hội Phật giáo Việt Nam tỉnh Lạng Sơn, trụ trì chùa Tân Thanh."
Chùa Thành Lạng Sơn có tên gọi khác là gì?,Chùa Thành Lạng Sơn vốn dĩ có tên gọi là chùa Diên Khánh Tự.
Chùa Thành Lạng Sơn được xây dựng từ khi nào?,Ngôi chùa này bắt đầu được xây dựng vào thế kỷ 15 với tên gọi Hương Lâm Tự.
Chùa Thành Lạng Sơn xây dựng vào thời đại nào?,Ngôi chùa này bắt đầu được xây dựng vào thế kỷ 15.
Chùa Thành Lạng Sơn có kiến trúc gì đặc biệt?,"Nổi bật nhất phải kể đến là tam quan chùa với lối chồng diêm 24 mái, kèm theo đó còn có ngói mũi hài, các đầu đao cong được thiết kế độc đáo. Ngoài tam quan chùa, Chùa Thành Lạng Sơn còn có thêm cánh điện, tòa phương đình, điện Mẫu, nhà Tổ… tất cả các công trình này đều được thiết kế vô cùng cổ kính, trang nghiêm."
Chùa Thành Lạng Sơn tọa lạc tại vị trí nào?,Đây là một ngôi chùa hết sức cổ kính tọa lạc bên dòng sông Kỳ Cùng. ...ngôi chùa này tọa lạc ngay cạnh thành cổ.
Chùa Thành Lạng Sơn thờ ai?,Không có thông tin trong đoạn văn.
"Chùa Thành Lạng Sơn có những gian, tòa nào?","Chùa Thành Lạng Sơn còn có thêm cánh điện, tòa phương đình, điện Mẫu, nhà Tổ…"
Chi tiết về các lần tu sửa?,Không có thông tin trong đoạn văn.
Chùa Tiên có tên gọi khác là gì?,"Ngoài tên gọi Chùa Tiên, động còn có tên gọi khác là Song Tiên."
Chùa Tiên được xây dựng từ khi nào?,"Theo các nguồn sử liệu, Chùa Tiên được lập từ thời Lê Hồng Đức (khoảng từ năm 1460 - 1497)."
Chùa Tiên xây dựng vào thời đại nào?,Chùa Tiên được lập từ thời Lê Hồng Đức.
Chùa Tiên có kiến trúc gì đặc biệt?,"Động chùa Tiên là một động lớn, có vòm cao, rộng; trong động có hàng nghìn nhũ đá tạo nên muôn hình, muôn vẻ."
Chùa Tiên tổ chức lễ hội vào ngày nào?,"Hàng năm, vào ngày 18 tháng Giêng, nhân dân trong vùng lại mở hội lớn tại Chùa Tiên."
Chùa Tiên tọa lạc tại vị trí nào?,"Chùa Tiên nằm trong lòng núi Đại Tượng, thuộc địa phận phường Chi Lăng, thành phố Lạng Sơn, cách trung tâm thành phố Lạng Sơn khoảng 1 km."
Chùa Tiên thờ ai?,"Chùa Tiên không chỉ là một di tích danh thắng mà còn là một địa điểm sinh hoạt tín ngưỡng, là nơi thờ Tiên, thờ Phật, Thánh Mẫu, thờ các vị anh hùng dân tộc."
Từng gian ở chùa Tiên thờ ai?,"Chùa có cung Tam Bảo với hệ thống tượng phật bài trí khá hoàn chỉnh, có cung thờ Mẫu, thờ vọng đức Thánh Trần..."
Chi tiết về lễ hội chùa Tiên?,"Hàng năm, vào ngày 18 tháng Giêng, nhân dân trong vùng lại mở hội lớn tại Chùa Tiên. Đây là nơi thỏa mãn nhu cầu tâm linh, là nơi gặp gỡ, giao lưu tình cảm, nơi diễn ra các trò chơi, trò diễn dân gian truyền thống của đồng bào các dân tộc Lạng Sơn."
Đền Bắc Lệ có tên gọi khác là gì?,Đền Bắc Lệ có tên chữ là Bắc Lệ Linh Từ.
Đền Bắc Lệ tọa lạc tại vị trí nào?,"Đền Bắc Lệ thuộc thôn Bắc Lệ, xã Tân Thành, huyện Hữu Lũng, tỉnh Lạng Sơn."
Đền Bắc Lệ thờ ai?,"Đền Bắc Lệ thờ Mẫu Thượng Ngàn, Chầu Bé, và công đồng, tứ phủ, thờ tất cả các vị thần linh ở bốn miền vũ trụ."
Từng gian ở đền Bắc Lệ thờ ai?,"Đền Bắc Lệ có ba cung: đệ nhất, đệ nhị và đệ tam."
Chi tiết về các lần tu sửa?,"Đền Bắc Lệ đã trải qua nhiều lần trùng tu, tôn tạo. Năm 1919, đền được xây dựng thành một ngôi nhà ba gian. Năm 1933, đền được trùng tu lần thứ hai. Năm 1940, đền được tu sửa lần thứ ba. Năm 1968, bom Mỹ gần như san phẳng ngôi đền. Năm 1973, đền Bắc Lệ lại được trùng tu lần thứ tư. Năm 1989, đền Bắc Lệ đã được sửa sang."
Chi tiết về lễ hội đền Bắc Lệ?,"Lễ hội đền Bắc Lệ được tổ chức hằng năm vào ngày 20/9 Âm lịch với các hoạt động mang đậm nét văn hóa tâm linh như lễ rước cô Bơ Bắc Lệ từ đền Kẻng lên đền Bắc Lệ, các nghi thức thờ cúng Mẫu, nguyện cầu, lên giá đồng... Đền Bắc Lệ có năm ngày lễ lớn trong năm thu hút được đông đảo khách thập phương nhất: Lễ Thượng nguyên, Lễ vào hè, Lễ ra hè, Lễ tất niên, Lễ tiệc Mẫu."
Đền Bắc Lệ có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Đền Bắc Lệ giữ một vị trí quan trọng trong đời sống tâm linh của Nhân dân trong vùng, là ngôi đền nổi tiếng ở tỉnh Lạng Sơn, có ảnh hưởng lớn đến đời sống văn hóa của Nhân dân."
Những ngôi chùa nào đạt di tích lịch sử cấp quốc gia?,"Đền Bắc Lệ được Nhà nước công nhận di tích lịch sử, văn hóa năm 1992."
Đền Kỳ Cùng có tên gọi khác là gì?,Đền Kỳ Cùng còn có tên là đền Quan Lớn Tuần Tranh.
Đền Kỳ Cùng tọa lạc tại vị trí nào?,"Đền Kỳ Cùng nằm bên tả ngạn sông Kỳ Cùng, thuộc địa phận phường Vĩnh Trại, thành phố Lạng Sơn."
Đền Kỳ Cùng có kiến trúc gì đặc biệt?,"Kiến trúc của đền theo kiểu chữ Đinh, mặt tiền quay về hướng nam."
Đền Kỳ Cùng tổ chức lễ hội vào ngày nào?,Lễ hội đền Kỳ Cùng kéo dài từ ngày 22 đến ngày 27 tháng Giêng hàng năm.
"Đền Kỳ Cùng có những bảo vật, hiện vật quý giá nào?","Trong đền còn lưu giữ được một số hiện vật quý gồm: Bia trùng tu đền, ghi lại quá trình xây dựng và lịch sử di tích, được tạo dựng vào tháng 2/1931; Các hoành phi, đại tự có niên đại thời Lê (1783), thời Nguyễn (vua Khải Định - Bảo Đại); nhiều đồ thờ tự như: chuông, đỉnh đồng, tượng thờ... có giá trị về mỹ thuật và niên đại."
Đền Kỳ Cùng thờ ai?,"Đền Kỳ Cùng thờ ông Cộc, ông Dài (vị thần của sông Kỳ Cùng), Quan lớn Tuần Tranh, Đức Thánh Trần, Tam tòa Thánh Mẫu và một số nhân thần khác."
Từng gian ở đền Kỳ Cùng thờ ai?,"Ngai thờ và bài vị đức Kỳ Cùng đại vương (ông Cộc, ông Dài) được đặt tại ban thờ Đức Thánh Trần. Ngoài ra, trong đền còn phối thờ Tam tòa Thánh Mẫu và một số nhân thần khác."
"Chi tiết về các bảo vật, hiện vật?","Trong đền còn lưu giữ được một số hiện vật quý gồm: Bia trùng tu đền, ghi lại quá trình xây dựng và lịch sử di tích, được tạo dựng vào tháng 2/1931; Các hoành phi, đại tự có niên đại thời Lê (1783), thời Nguyễn (vua Khải Định - Bảo Đại); nhiều đồ thờ tự như: chuông, đỉnh đồng, tượng thờ... có giá trị về mỹ thuật và niên đại."
Chi tiết về lễ hội đền Kỳ Cùng?,"Lễ hội đền Kỳ Cùng gắn liền với lễ hội đền Tả Phủ (thành phố Lạng Sơn), kéo dài từ ngày 22 đến ngày 27 tháng Giêng hàng năm."
Đền Kỳ Cùng có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Đền Kỳ Cùng có một vị thế quan trọng trong đời sống văn hóa tinh thần của người dân Xứ Lạng và trở thành điểm du lịch tâm linh nổi tiếng, hấp dẫn du khách thập phương."
Đền Mẫu Đồng Đăng được xây dựng từ khi nào?,Đền Mẫu Đồng Đăng được xây dựng lần đầu tiên vào khoảng thế kỷ XIX.
Đền Mẫu Đồng Đăng đã qua bao nhiêu lần tu sửa?,"Đến năm 1990, chính quyền và nhân dân đã góp tiền của, công sức xây dựng ngôi đền khang trang hơn."
Đền Mẫu Đồng Đăng tọa lạc tại vị trí nào?,Đền Mẫu Đồng Đăng nằm sát chân núi.
Đền Mẫu Đồng Đăng thờ ai?,"Đền Mẫu Đồng Đăng thờ Phật Chuẩn Đề, Phật Quan Thế Âm Bồ Tát, Tam Tòa Thánh Mẫu (Mẫu Đệ Nhất Thượng Thiên, Mẫu Đệ Nhị Thượng Ngàn và Mẫu Đệ Tam Thoải Phủ), Sơn Trang (chúa Thượng Ngàn, Chầu Mười Đồng Mỏ và Chầu Chín), Chầu Đệ Tứ Khâm Sai và Thánh Mẫu Liễu Hạnh."
Từng gian ở đền Mẫu Đồng Đăng thờ ai?,"Phía trong thờ Phật Chuẩn Đề và Phật Quan Thế Âm Bồ Tát. Phía ngoài là gian thờ Tam Tòa Thánh Mẫu bao gồm Mẫu Đệ Nhất Thượng Thiên, Mẫu Đệ Nhị Thượng Ngàn và Mẫu Đệ Tam Thoải Phủ. Gian bên phải thờ Sơn Trang gồm chúa Thượng Ngàn ở giữa, hai bên là Chầu Mười Đồng Mỏ và Chầu Chín; gian bên trái thờ Chầu Đệ Tứ Khâm Sai. Chính điện là gian thờ Thánh Mẫu Liễu Hạnh."
"Đền Mẫu Đồng Đăng có những gian, tòa nào?",Đền Mẫu Đồng Đăng hiện tại có 5 gian thờ.
Chi tiết về lễ hội đền Mẫu Đồng Đăng?,"Vào mùng 10 tháng Giêng, tại đền Mẫu Đồng Đăng diễn ra lễ hội đầu xuân của các dân tộc xứ Lạng. Lễ hội đặc sắc bởi văn hóa tâm linh và các trò chơi dân gian như múa sư tử, võ dân tộc, thi đấu thể thao truyền thống…"
Đền Tả Phủ tọa lạc tại vị trí nào?,"Đền Tả Phủ nằm ở phố chợ Kỳ Lừa, thuộc phường Hoàng Văn Thụ, thành phố Lạng Sơn."
Đền Tả Phủ được xây dựng từ khi nào?,Đền Tả Phủ được xây dựng từ năm Chính Hòa thứ 4 (1683).
Đền Tả Phủ thờ ai?,"Đền Tả Phủ thờ một vị quan tướng thời Hậu Lê tên là Thân Công Tài, chức Tả đô đốc Hán quận công."
Đền Tả Phủ có kiến trúc gì đặc biệt?,"Đền Tả Phủ có kiến trúc gồm 2 tòa, kết cấu theo lối chữ Công. Nối liền giữa hai tòa là tường vây có trổ 2 cổng nhỏ đi xuyên vào trục chính đạo."
Đền Tả Phủ tổ chức lễ hội vào ngày nào?,Lễ hội truyền thống của nhân dân trong vùng được tổ chức tại đền Tả Phủ từ ngày 22 đến ngày 27 tháng Giêng hàng năm.
Chi tiết về lễ hội đền Tả Phủ?,"Lễ hội truyền thống của nhân dân trong vùng được tổ chức tại đền Tả Phủ từ ngày 22 đến ngày 27 tháng Giêng hàng năm với tên gọi Lễ hội Đầu pháo Kỳ Lừa, có liên quan mật thiết với lễ hội đền Kỳ Cùng, thu hút đông đảo nhân dân địa phương và du khách tham dự."
"Đền Tả Phủ có những gian, tòa nào?",Đền Tả Phủ có kiến trúc gồm 2 tòa.
Chùa Hương có tên gọi khác là gì?,Thông tin này không có trong đoạn văn.
Chùa Hương được xây dựng từ khi nào?,Thông tin này không có trong đoạn văn.
Chùa Hương có bao nhiêu năm tuổi?,Thông tin này không có trong đoạn văn.
Chùa Hương xây dựng vào thời đại nào?,Thông tin này không có trong đoạn văn.
Chùa Hương có kiến trúc gì đặc biệt?,Thông tin này không có trong đoạn văn.
Chùa Hương tổ chức lễ hội vào ngày nào?,Thông tin này không có trong đoạn văn.
Chùa Hương đã qua bao nhiêu lần tu sửa?,Thông tin này không có trong đoạn văn.
Diện tích của chùa Hương là bao nhiêu?,Thông tin này không có trong đoạn văn.
"Chùa Hương có những bảo vật, hiện vật quý giá nào?",Thông tin này không có trong đoạn văn.
Chùa Hương tọa lạc tại vị trí nào?,Thông tin này không có trong đoạn văn.
Những ngôi chùa nào gần ngôi chùa Hương?,Thông tin này không có trong đoạn văn.
Những ngôi chùa nào ở tỉnh Vĩnh Phúc?,Thông tin này không có trong đoạn văn.
Chùa Hương thờ ai?,Thông tin này không có trong đoạn văn.
Từng gian ở chùa Hương thờ ai?,Thông tin này không có trong đoạn văn.
Những ngôi chùa nào thờ đức thánh Tản Viên?,Thông tin này không có trong đoạn văn.
Chùa Hương được xây dựng từ vật liệu nào?,Thông tin này không có trong đoạn văn.
Những ngôi chùa nào đạt di tích lịch sử cấp quốc gia?,Thông tin này không có trong đoạn văn.
Những ngôi chùa nào đạt di tích lịch sử cấp tỉnh?,Thông tin này không có trong đoạn văn.
"Chùa Hương có những gian, tòa nào?",Thông tin này không có trong đoạn văn.
Những câu chuyện liên quan tới chùa Hương?,Thông tin này không có trong đoạn văn.
Những câu chuyện nào liên quan tới vị Đức thánh Tản Viên?,Thông tin này không có trong đoạn văn.
Chi tiết về các lần tu sửa?,Thông tin này không có trong đoạn văn.
"Chi tiết về các bảo vật, hiện vật?",Thông tin này không có trong đoạn văn.
Chi tiết về lễ hội chùa Hương?,Thông tin này không có trong đoạn văn.
Những sự kiện lịch sử quan trọng đã diễn ra tại chùa Hương?,Thông tin này không có trong đoạn văn.
"Ai là người sáng lập, đứng đầu đầu tiên của chùa Hương?",Thông tin này không có trong đoạn văn.
Vị Đức thánh Tản Viên được mô tả như thế nào?,Thông tin này không có trong đoạn văn.
Vị Đức thánh Tản Viên sáng lập ra những ngôi chùa nào?,Thông tin này không có trong đoạn văn.
Những vị nổi tiếng nào từng trụ trì tại chùa Hương?,Thông tin này không có trong đoạn văn.
Chùa Hương có ảnh hưởng như thế nào đến cộng đồng địa phương?,Thông tin này không có trong đoạn văn.
Chùa Bồng Lai có tên gọi khác là gì?,Chùa Bồng Lai còn có tên gọi khác là Chùa Hà Thạch.
Chùa Bồng Lai được xây dựng từ khi nào?,Truyền thuyết dân gian cho rằng chùa Bồng Lai được làm vào đời Trần.
Chùa Bồng Lai xây dựng vào thời đại nào?,Truyền thuyết dân gian cho rằng chùa Bồng Lai được làm vào đời Trần.
Chùa Bồng Lai có kiến trúc gì đặc biệt?,"Chùa Bồng Lai thời Lê có kiến trúc kiểu nội công ngoại quốc, gồm 36 gian, tượng trưng cho 36 chòm xóm làng Hà Thạch."
Chùa Bồng Lai đã qua bao nhiêu lần tu sửa?,"Tấm bia đá có niên đại Chính Hòa thất thiên (1686) cho biết lần trùng tu lớn này với các công việc chính là làm tòa tiền đường, thiên hương, thiên điện, tạo tượng Thích Ca và các tòa khác."
Chùa Bồng Lai tọa lạc tại vị trí nào?,"Chùa Bồng Lai thuộc thôn Hà Thạch, xã Hà Thạch, thị xã Phú Thọ."
"Chùa Bồng Lai có những bảo vật, hiện vật quý giá nào?","Chùa Bồng Lai có bệ tượng đất nung, hệ thống tượng thờ, bia và các di tích vật quý khác."
Chùa Bồng Lai thờ ai?,"Trong lần trùng tu năm 1686, chùa tạo tượng Thích Ca."
Chùa Bồng Lai được xây dựng từ vật liệu nào?,Chùa Bồng Lai có hơn 200 pho tượng tròn làm bằng chất liệu gỗ và đất.
Những ngôi chùa nào đạt di tích lịch sử cấp quốc gia?,Chùa Bồng Lai đã được Bộ văn hóa thông tin cấp “Bằng công nhận di tích lịch sử - văn hóa” cấp quốc gia.
"Chùa Bồng Lai có những gian, tòa nào?","Kiến trúc chính của chùa gồm 2 tòa hình chữ đinh. Tiền đường 5 gian, thượng điện 5 gian."
Chi tiết về các lần tu sửa?,"Lần trùng tu lớn vào năm 1686 (thời Chính Hòa) bao gồm làm tòa tiền đường, thiên hương, thiên điện, tạo tượng Thích Ca và các tòa khác."
"Chi tiết về các bảo vật, hiện vật?","Bệ tượng đất nung có niên đại nửa cuối thế kỷ XIV, được làm bằng đất nung, thiết kế giật cấp 3 tầng, trang trí hoa cúc, hoa văn cánh sen, hoa hải đường và hình con ly. Có hơn 200 pho tượng tròn làm bằng chất liệu gỗ và đất."
