Question,Answer
Chùa Đống Lân đạt di tích lịch sử cấp tỉnh năm nào?,"Chùa Đống Lân được xếp hạng Di tích lịch sử văn hóa cấp tỉnh năm 1997. Chùa Đống Lân tọa lạc ở xã Hưng Đạo, Thành phố Cao Bằng. Chùa được kiến tạo từ thời Lê - Mạc."
Chùa Viên Minh đạt di tích lịch sử cấp tỉnh năm nào?,"Chùa Viên Minh được xếp hạng Di tích lịch sử văn hóa cấp tỉnh năm 2008. Chùa được xây dựng từ thời nhà Lý. Đến thời hậu Lê chùa được sửa sang tôn tạo và đúc chuông lớn, mở mang tiền đường, điện phật."
Chùa Phố Cũ đạt di tích lịch sử cấp tỉnh năm nào?,"Chùa Phố Cũ được Nhà nước xếp hạng di tích lịch sử văn hóa cấp tỉnh ngày 31/12/2002. Chùa Phố Cũ, phường Hợp Giang (Thành phố), thờ đức Thánh Trần (Trần Hưng Đạo Đại Vương), với chức năng ""Tiền Thánh, hậu Phật"" và còn thờ Quan Vân Trường, chùa được xây dựng từ thời nhà Nguyễn. Bên cạnh những giá trị văn hóa, tín ngưỡng, chùa Phố Cũ còn mang giá trị lịch sử cách mạng."
Chùa Sùng Phúc đạt di tích lịch sử cấp quốc gia năm nào?,Chùa Sùng Phúc được xếp hạng di tích lịch sử văn hóa cấp tỉnh năm 2002. Thông tin ban hành Quyết định số 68/VH-QĐ xếp hạng chùa Sùng Phúc là di tích lịch sử văn hóa cấp quốc gia. Văn bản không đề cập đến năm chùa Sùng Phúc đạt di tích lịch sử cấp quốc gia.
Chùa Vân An đạt di tích lịch sử cấp tỉnh năm nào?,"Chùa Vân An được xếp hạng Di tích lịch sử văn hóa cấp tỉnh năm 2006. Chùa Vân An được xây dựng từ thời nhà Lê, tọa lạc tại chân núi Vân Trung thuộc xóm Nà Chùa, thị trấn Bảo Lạc. Chùa được xây dựng theo kiến trúc tiền thánh, hậu phật."
Những ngôi chùa nào thờ đức thánh Trần?,"Chùa Đống Lân và một gian bên phải của chùa thờ Mẫu ở Hà Giang là những nơi thờ Đức Thánh Trần. Chùa Đống Lân thờ hai anh em Trần Quý, Trần Kiên, từ thời Tiền Lê, hai người có công lớn với bản làng. Gian bên phải của chùa Mẫu thờ Đức Thánh Trần và cung bản mệnh thờ các vị thần bảo hộ loài người."
Chùa Bình Lâm tọa lạc tại vị trí nào?,"Chùa Bình Lâm nằm ở xã Phú Linh, huyện Vị Xuyên, tỉnh Hà Giang. Ngôi chùa này là một điểm đến tâm linh quan trọng trong khu vực. Nơi đây còn lưu giữ bảo vật Quốc gia, đó là quả chuông thời Trần."
"Chùa Bình Lâm có những bảo vật, hiện vật quý giá nào?","Chùa Bình Lâm lưu giữ quả chuông thời Trần, cao 103 cm, đường kính miệng 65 cm, được công nhận là bảo vật Quốc gia. Ngoài ra, chùa còn có hơn một chục bức tượng thờ và các hiện vật có giá trị khác. Những hiện vật này đã tồn tại hàng trăm năm và được tạo ra bởi các nghệ nhân dân gian tài hoa."
Chùa Bình Lâm có kiến trúc gì đặc biệt?,"Chùa Bình Lâm có lối thiết kế cổ xưa, toát lên vẻ đẹp huyền bí. Mái ngói âm dương của chùa mang đậm màu thời gian, tạo cảm giác yên bình và tĩnh tại. Chùa sử dụng các loại gỗ quý như sa mộc để tăng độ bền."
Chùa Bình Lâm được xây dựng từ vật liệu nào?,Tôi không biết. Các đoạn văn bản được cung cấp không đề cập đến vật liệu xây dựng của Chùa Bình Lâm. Các đoạn văn bản được cung cấp chỉ đề cập đến quả chuông thời Trần được lưu giữ tại chùa.
Chùa Sùng Khánh tọa lạc tại vị trí nào?,"Chùa Sùng Khánh nằm ở thôn Làng Nùng, xã Đạo Đức, huyện Vị Xuyên, cách trung tâm huyện khoảng 11 km về phía Đông Bắc. Ngôi chùa được xây dựng từ năm 1356 và trải qua nhiều lần trùng tu. Đến năm 1989, chùa được xây dựng lại trên nền chùa cũ."
Chùa Sùng Khánh được xây dựng từ khi nào?,"Chùa Sùng Khánh được xây dựng từ năm 1356. Trải qua nhiều lần trùng tu, đến năm 1989 chùa được xây dựng lại trên nền chùa cũ. Năm 1993, chùa được xếp hạng di tích lịch sử và đến năm 1999 được công nhận là Di tích lịch sử cấp Quốc gia."
Chùa Sùng Khánh xây dựng vào thời đại nào?,"Chùa Sùng Khánh được xây dựng từ những năm 1356. Ban đầu, ngôi chùa có tên là chùa Sùng Khánh được xây dựng từ thời vua Trần Nhân Tông (1279 - 1293) trên đỉnh núi Pò Kiền. Đến năm 1993, Chùa Sùng Khánh được xếp hạng di tích lịch sử."
"Chùa Sùng Khánh có những bảo vật, hiện vật quý giá nào?","Chùa Sùng Khánh lưu giữ bảo vật quốc gia là Bia đá thời Trần và quả chuông được đúc thời Hậu Lê (1705). Du khách viếng chùa sẽ được chiêm ngưỡng tấm bia đá được dựng dưới thời vua Trần Dụ Tông, tức năm 1367. Tượng Phật và đồ thờ tự trong Chùa Sùng Khánh cũng bị mai một ít nhiều, duy chỉ có hai tấm bia đá và một quả chuông đồng là trường tồn."
Chùa Sùng Khánh tổ chức lễ hội vào ngày nào?,Chùa Sùng Khánh tổ chức lễ hội Lồng Tồng vào ngày 15 tháng Giêng âm lịch hàng năm. Lễ hội này là một phần quan trọng trong vai trò văn hóa tâm linh của chùa. Du khách có thể tham gia lễ hội khi đến thăm chùa vào thời điểm đó.
Chùa Sùng Khánh đã qua bao nhiêu lần tu sửa?,"Chùa Sùng Khánh đã trải qua nhiều lần trùng tu. Đến năm 1989, chùa được xây dựng lại trên nền chùa cũ. Trong suốt chiều dài lịch sử, ngôi chùa này đã trải qua nhiều thăng trầm đổ nát."
Chùa Sùng Khánh có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Chùa Sùng Khánh đóng vai trò quan trọng về văn hóa và tâm linh trong khu vực. Du khách đến chùa không chỉ để cầu bình an, may mắn và chiêm ngưỡng kiến trúc mà còn có cơ hội tham gia vào các lễ hội mùa xuân. Vào ngày 15 tháng Giêng âm lịch hàng năm, chùa tổ chức Lễ hội Lồng Tồng của dân tộc."
Chi tiết về lễ hội chùa Sùng Khánh?,"Chùa Sùng Khánh có vai trò văn hóa tâm linh quan trọng trong vùng. Vào ngày 15 tháng Giêng âm lịch hàng năm, chùa sẽ tổ chức Lễ hội Lồng Tồng của dân tộc. Du khách đến đây không chỉ cầu bình an, may mắn và thưởng thức kiến trúc nhà chùa mà còn có cơ hội tham gia vào các lễ hội mùa xuân."
Đền Mẫu Hà Giang được xây dựng từ khi nào?,Đền Mẫu Hà Giang được xây dựng từ năm 1889. Ngôi đền này đã hơn 100 năm tuổi và trở thành điểm đến tâm linh quan trọng ở Hà Giang. Đền Mẫu Hà Giang còn được gọi là Cấm Sơn Linh Từ.
Đền Mẫu Hà Giang có bao nhiêu năm tuổi?,Đền Mẫu Hà Giang đã hơn 100 năm tuổi. Đền được xây dựng từ năm 1889. Nơi này còn được gọi là Cấm Sơn Linh Từ.
Đền Mẫu Hà Giang thờ ai?,"Đền Mẫu Hà Giang thờ Đức Thánh Mẫu Thiên Tiên (tức Mẫu Thượng Ngàn Công Chúa Liễu Hạnh) và Đức Thánh Trần Hưng Đạo Đại Vương Trần Quốc Tuấn. Đền còn được gọi là Cấm Sơn Linh Từ, xây dựng từ năm 1889."
Đền Mẫu Hà Giang tọa lạc tại vị trí nào?,"Đền Mẫu Hà Giang nằm tựa vào lưng núi Cấm, mặt hướng về sông Lô. Vị trí này được đánh giá là đẹp và đắc địa. Đền được xây dựng từ năm 1889."
"Đền Mẫu Hà Giang có những bảo vật, hiện vật quý giá nào?","Đền Mẫu Hà Giang là nơi lưu trữ nhiều hiện vật nghệ thuật, kiến trúc quý báu. Trong đền còn nhiều những hiện vật quý giá mang giá trị lịch sử, văn hóa."
Đền Mẫu Hà Giang tổ chức lễ hội vào ngày nào?,"Đền Mẫu Hà Giang có nhiều du khách trong và ngoài nước viếng thăm vào 13/3 âm lịch hàng năm, lễ Chúa Sơn vào 27/7 và lễ Phật Đản. Đền Bắc Lệ tổ chức lễ tiệc Mẫu từ ngày 18 đến 20 tháng Chín Âm lịch. Trong các lễ, đáng chú ý nhất là lễ tiệc Mẫu - chính hội."
Đền Mẫu Hà Giang còn được gọi là gì?,Đền Mẫu Hà Giang còn được gọi là Cấm Sơn Linh Từ. Đền được xây dựng từ năm 1889. Đền thờ Đức Thánh Mẫu Thiên Tiên và Đức Thánh Trần Hưng Đạo Đại Vương Trần Quốc Tuấn.
Đền Quan Hoàng tọa lạc tại vị trí nào?,"Đền Quan Hoàng nằm ở thôn Đồng Lực, thị trấn Đồng Văn, huyện Đồng Văn. Ngôi đền này được xây dựng vào cuối thế kỷ 18."
Đền Quan Hoàng được xây dựng từ khi nào?,"Đền Quan Hoàng được xây dựng vào cuối thế kỷ 18. Ngôi đền này nằm ở thôn Đồng Lực, thị trấn Đồng Văn, huyện Đồng Văn. Đền Quan Hoàng được người Lô Lô lập nên để thờ ông Công Hoàng."
Đền Quan Hoàng thờ ai?,"Đền Quan Hoàng thờ ông Công Hoàng, một vị anh hùng người Lô Lô. Ông là người có công lớn trong việc xây dựng và bảo vệ xóm làng. Ông mang đến cuộc sống yên bình, no ấm cho bà con."
Đền Quan Hoàng tổ chức lễ hội vào ngày nào?,"Đền Quan Hoàng tổ chức lễ hội vào ngày Ngọ tháng 2 âm lịch hàng năm. Vào ngày này, bà con đến đền rất đông để cầu con cái và tài lộc. Ngôi đền này là điểm đến tâm linh Hà Giang rất thiêng mà người bản địa vô cùng tin tưởng."
Những câu chuyện nào liên quan tới vị Đức thánh Tản Viên?,"Nguyễn Tuấn chu du thiên hạ cứu vớt dân sinh, cứu được long cung Thái tử con vua Thuỷ tề và được vua Thuỷ Tề tặng cho cuốn “ước thư”. Nguyễn Tuấn có gậy và ước thư nên thường cứu hoạ đem phúc cho đời, được người đời gọi là Tản Viên Sơn Thánh. Tản Viên Sơn Thánh cùng các tướng lãnh về triều bàn kế đánh giặc khi Chúa Thục thừa cơ dậy binh, cầu viện các nước láng giềng đến xâm lấn."
Vị Đức thánh Tản Viên được mô tả như thế nào?,"Đức thánh Tản (Sơn Tinh) húy là Nguyễn Tuấn, sinh ngày 15 tháng Giêng năm Đinh Hợi tại động Lăng Xương, xã Trung Nghĩa, huyện Thanh Thủy, tỉnh Phú Thọ. Nguyễn Tuấn mồ côi cha từ nhỏ, ở với mẹ và hai anh em họ là Nguyễn Hiển, Nguyễn Sùng. Ông được người đời gọi là Tản Viên Sơn Thánh vì thường cứu hoạ đem phúc cho đời."
Đền Quan Hoàng có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Đền Quan Hoàng có ảnh hưởng lớn đến cộng đồng địa phương, đặc biệt là người Lô Lô. Người dân xem ông Công Hoàng, người được thờ trong đền, như một vị phúc thần và thờ ông tại đền. Hàng năm, vào ngày Ngọ tháng 2 âm lịch, bà con đến đền rất đông để cầu con cái và tài lộc."
Chùa Linh Sơn được xây dựng từ khi nào?,"Tôi xin lỗi, nhưng thông tin được cung cấp là về Chùa Tích Sơn, không phải Chùa Linh Sơn. Dựa trên thông tin này, không thể xác định được thời điểm xây dựng Chùa Linh Sơn."
Chùa Linh Sơn có kiến trúc gì đặc biệt?,Chùa Linh Sơn có kiến trúc chữ công chồng diêm mái đao. Kết cấu chùa được làm bằng gỗ cổ kính với kiến trúc đặc trưng văn hóa chùa miền Bắc. Kiến trúc này tạo nên cảnh quan hài hòa gần gũi trong đời sống.
Chùa Linh Sơn tọa lạc tại vị trí nào?,"Tôi xin lỗi, nhưng thông tin được cung cấp không đề cập đến Chùa Linh Sơn."
Chùa Linh Sơn thờ ai?,Tôi không biết. Các đoạn văn bản không đề cập đến việc chùa Linh Sơn thờ ai. Các đoạn văn bản chỉ đề cập đến việc chùa Linh Sơn được xây dựng từ năm 2019 và có một buổi lễ khánh thành với các nghi lễ tâm linh.
Chùa Linh Sơn được xây dựng từ vật liệu nào?,"Chùa Linh Sơn có kiến trúc hình chữ Đinh (J) với hệ thống cột chủ yếu là bằng chất liệu gỗ và gạch xây. Hệ thống mái bằng gỗ quý, hầu như không chạm trổ hoa văn mà được tạo tác bằng hình thức bào trơn đóng bén."
"Chùa Linh Sơn có những gian, tòa nào?","Chùa Linh Sơn có kiến trúc chữ công chồng diêm mái đao, kết cấu bằng gỗ cổ kính với kiến trúc đặc trưng văn hóa chùa miền Bắc. Nhiều hạng mục như tam quan, gác chuông, nhà Tổ, chính điện và mộ tháp làm nên tổng thể ngôi chùa bề thế, linh thiêng. Chính điện có kiến trúc hình chữ Đinh (J) với hệ thống cột chủ yếu là bằng chất liệu gỗ và gạch xây."
Ai là người trụ trì chùa Linh Sơn?,Tôi không biết thông tin về người trụ trì chùa Linh Sơn. Dữ liệu chỉ đề cập đến việc ngôi chùa được đặt đá khởi công xây dựng từ năm 2019.
Chùa Linh Sơn có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Chùa Linh Sơn là trụ sở của Ban Trị sự Phật giáo tỉnh Lai Châu và là một công trình tâm linh quan trọng. Ngôi chùa có kiến trúc đặc trưng của chùa miền Bắc, tạo nên cảnh quan hài hòa và gần gũi trong đời sống. Chùa đáp ứng nhu cầu sinh hoạt tu học cho Phật tử tỉnh nhà và được coi là cột mốc văn hóa tâm linh tại vùng Tây Bắc."
Chùa Linh Ứng tọa lạc tại vị trí nào?,"Chùa Linh Ứng nằm ở độ cao hơn 1.100m so với mực nước biển, cách trung tâm thành phố Lai Châu khoảng 4km. Chùa thuộc địa phận bản Lao Tỷ Phùng, xã Nùng Nàng, huyện Tam Đường. Đây là một trong những địa điểm thu hút người dân và du khách đến tham quan, chiêm bái và lễ Phật."
Diện tích của chùa Linh Ứng là bao nhiêu?,Chùa Linh Ứng được xây dựng trên diện tích 5ha. Chùa nằm ở độ cao hơn 1.100m so với mực nước biển. Chùa nằm cách trung tâm thành phố Lai Châu khoảng 4km.
"Chùa Linh Ứng có những gian, tòa nào?","Chùa Linh Ứng có Cổng Tam quan, nhà Mẫu, nhà Tổ, nhà Tăng, giảng đường và Tam bảo. Chùa được đầu tư xây dựng trên diện tích 5ha. Chùa được bố trí chỉn chu, tạo nên một quần thể tâm linh đẹp, bình an và tĩnh tại."
Đền thờ vua Lê Lợi tọa lạc tại vị trí nào?,"Đền thờ vua Lê Lợi tọa lạc tại xã Lê Lợi, huyện Nậm Nhùn, tỉnh Lai Châu. Đây là một điểm đến hấp dẫn đối với du khách khi đến Lai Châu. Du khách đến đây có thể tìm hiểu về những giá trị lịch sử, văn hóa và chiêm ngưỡng cảnh quan thiên nhiên hùng vĩ."
"Đền thờ vua Lê Lợi có những bảo vật, hiện vật quý giá nào?","Đền thờ vua Lê Lợi lưu giữ bảo vật Quốc gia Bia vua Lê Thái Tổ - Bia cổ hoài lai. Du khách đến đây có thể dâng hương tưởng nhớ người anh hùng dân tộc Lê Lợi. Ngoài ra, du khách còn được chiêm ngưỡng cảnh quan thiên nhiên hùng vĩ bậc nhất nơi núi rừng Tây Bắc."
Những sự kiện lịch sử quan trọng đã diễn ra tại Đền thờ vua Lê Lợi?,"Năm 1432, Lê Lợi cầm quân lên Châu Ninh Viễn (Lai Châu ngày nay) dẹp loạn Đèo Cát Hãn, thống nhất non sông đất nước. Sau khi đánh giặc Minh (1418-1428), Lê Lợi và tổ chức lễ hội Đền thờ vua Lê Lợi. Đây là sự kiện văn hóa quan trọng thể hiện sự tri ân, tôn vinh trước những cống hiến, hy sinh của anh hùng dân tộc Lê Lợi cùng các tướng sĩ, nghĩa quân năm xưa."
Chi tiết về lễ hội Đền thờ vua Lê Lợi?,"Lễ hội Đền thờ vua Lê Lợi là sự kiện văn hóa quan trọng thể hiện sự tri ân, tôn vinh công lao của anh hùng dân tộc Lê Lợi. Lễ hội được tổ chức vào ngày 6 tháng Giêng âm lịch hàng năm. Phần hội bao gồm các hoạt động văn hóa, văn nghệ, trò chơi dân gian như cờ tướng, kéo co, bịt mắt đập bóng."
Đền thờ vua Lê Lợi có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Đền thờ vua Lê Lợi có ảnh hưởng lớn đến cộng đồng địa phương. Nó thể hiện sự tri ân, tôn vinh những cống hiến của anh hùng dân tộc Lê Lợi. Đồng thời, đền thờ khơi dậy lòng tự hào, tự tôn dân tộc, góp phần giáo dục và phát huy truyền thống yêu nước."
Những ngôi chùa nào ở tỉnh Vĩnh Phúc?,"Ở tỉnh Vĩnh Phúc có chùa Động Lâm còn gọi là chùa Hạ, thuộc xã Hợp Thịnh, huyện Tam Dương. Ngoài ra còn có chùa Cói được xây dựng từ thế kỷ XIII. Tháp chùa Vĩnh Khánh, tục gọi là chùa Then ở xã Tam Sơn (Lập Thạch)."
Chùa Tân Bảo có tên gọi khác là gì?,"Chùa Tân Bảo còn được gọi là chùa Lê Lợi. Tên gọi này xuất phát từ vị trí của chùa sau năm 1950, khi nó giáp với phố Lê Lợi. Trước năm 1950, chùa được gọi là chùa Tân Bảo do thuộc địa phận thôn Tân Bảo."
Chùa Tân Bảo được xây dựng từ khi nào?,"Theo truyền tụng của người dân địa phương, thì chùa có từ thời Trần. Trong khoảng thời gian giữa thế kỉ XIX, ngôi chùa được nhân dân địa phương góp công, quyên góp tiền của để xây dựng. Đến năm 1991, nhiều di tích lịch sử văn hóa của tỉnh Lào Cai được đưa vào dự án tôn tạo, phục vụ, tái lập về kinh tế – văn hóa."
Chùa Tân Bảo xây dựng vào thời đại nào?,"Theo truyền tụng của người dân địa phương, thì chùa có từ thời Trần. Trong khoảng thời gian giữa thế kỉ XIX, ngôi chùa được nhân dân địa phương góp công, quyên góp tiền của để xây dựng. Đến năm 1991, nhiều di tích lịch sử văn hóa của tỉnh Lào Cai được đưa vào dự án tôn tạo."
Diện tích của chùa Tân Bảo là bao nhiêu?,"Diện tích của chùa Tân Bảo là 1.500 m2. Chùa nằm gần bờ sông Nậm Thi, giáp ranh biên giới Việt - Trung. Chùa thuộc tổ 7, phường Lào Cai, thị xã Lào Cai, tỉnh Lào Cai."
Chùa Tân Bảo tọa lạc tại vị trí nào?,"Chùa Tân Bảo tọa lạc gần bờ sông Nậm Thi, giáp ranh biên giới Việt - Trung. Địa chỉ cụ thể là tổ 7, phường Lào Cai, thị xã Lào Cai, tỉnh Lào Cai. Chùa nằm trong quần thể cảnh quan thiên nhiên núi non sông nước."
Những ngôi chùa nào ở tỉnh Lào Cai?,"Chùa Tân Bảo là một ngôi chùa ở tỉnh Lào Cai. Chùa tọa lạc tại Tổ 7, phường Lào Cai, thành phố Lào Cai, tỉnh Lào Cai. Chùa Tân Bảo là một địa điểm linh thiêng, được nhiều khách thập phương đến lễ bái."
Chùa Tân Bảo thờ ai?,"Chùa Tân Bảo thờ tượng Bồ tát Quan Thế Âm Thiên thủ Thiên nhãn, tượng Đản sanh, tượng Ngọc Hoàng, Nam Tào, Bắc Đẩu, Hộ pháp. Phía sau chính điện là nhà tổ và nhà mẫu."
"Chùa Tân Bảo có những gian, tòa nào?","Chùa Tân Bảo có các gian, tòa như cổng Tam quan, sân chùa, nhà chính điện, nhà tổ, nhà mẫu, nhà khách. Tòa chính điện gồm 3 gian được xây dựng hoàn thành vào năm 1992. Nơi đây bài trí và thờ nhiều tượng Phật như: Tượng Tam Thế Phật, tượng đức Phật Thích Ca."
Chi tiết về lễ hội chùa Tân Bảo?,"Chùa Tân Bảo là nơi tổ chức nhiều lễ hội Phật giáo quan trọng, như: Lễ tưởng niệm ngày nhập Niết bàn của Đầu đà Điều Ngự Giác Hoàng Trần Nhân Tông, lễ hội Phật đản tỉnh Lào Cai, Lễ hội Vu Lan,… thu hút đông đảo số lượng du khách và Phật tử gần xa. Lễ Hội Chùa Tân Bảo cổng tam quan của chùa được xây vào năm 2002. Chúa Tân Bảo - Chùa Tân Bảo Thành phố Lào Cai vào ngày Rằm tháng Bảy."
Chùa Hương có tên gọi khác là gì?,"Chùa Hương có tên gọi khác là Hương Lâm Tự, Diên Khánh Tự và Tuần Khánh Tự. Ngôi chùa này bắt đầu được xây dựng vào thế kỷ 15 với tên gọi Hương Lâm Tự. Đến năm 1796, ngôi chùa được dời về vị trí hiện nay và được đổi tên thành Diên Khánh Tự. Từ năm 1846, từ đời của vua Thiệu Trị, ngôi chùa này được đổi tên thành Tuần Khánh Tự."
Chùa Hương được xây dựng từ khi nào?,"Chùa Hương Nghiêm, còn được gọi là Chùa Hang Tuyên Quang, được xây dựng từ thế kỷ XVI. Ngôi chùa cổ kính này nằm bên dòng sông Kỳ Cùng. Ngôi chùa này còn được biết đến với nhiều tên gọi khác nhau qua các thời kỳ."
Chùa Hương có bao nhiêu năm tuổi?,"Chùa Hang Tuyên Quang còn được biết đến với tên gọi khác là chùa Hương Nghiêm. Ngôi chùa được xây dựng từ thế kỷ XVI. Vì vậy, chùa Hương có hơn 400 năm tuổi."
Chùa Hương xây dựng vào thời đại nào?,"Chùa Hang Tuyên Quang, còn được gọi là chùa Hương Nghiêm, được xây dựng từ thế kỷ XVI."
Chùa Hương có kiến trúc gì đặc biệt?,"Chùa Hang Tuyên Quang, còn được gọi là chùa Hương Nghiêm, được xây dựng từ thế kỷ XVI. Chùa được xây dựng theo kiến trúc đặc trưng của thời Lý. Kiến trúc thể hiện qua kết cấu, mái ngói, đường nét, hoa văn rồng, phượng, mây, sóng, hoa sen, hoa cúc được chạm trổ cầu kỳ, tinh xảo."
Chùa Hương tổ chức lễ hội vào ngày nào?,"Tôi xin lỗi, tôi không có thông tin về ngày lễ hội Chùa Hương. Các mẩu dữ liệu được cung cấp đề cập đến các lễ hội khác. Chúng bao gồm lễ hội đền Hùng Lô, lễ hội đền Bảo Hà và ngày giỗ tổ Hùng Vương."
Chùa Hương đã qua bao nhiêu lần tu sửa?,"Chùa Hương đã trải qua các lần trùng tu vào những năm 1975 và 1996. Ngoài ra, Thái Tử Sâm đã cúng ruộng và tiền để tu bổ chùa. Nguyễn Công đã chỉ đạo tu sửa và vận động đóng góp cho công trình."
Diện tích của chùa Hương là bao nhiêu?,Tôi không biết câu trả lời. Các đoạn văn bản được cung cấp không chứa thông tin về diện tích của chùa Hương. Các đoạn văn bản được cung cấp đề cập đến chùa Thuần Lương và chùa Hang Thái Nguyên.
"Chùa Hương có những bảo vật, hiện vật quý giá nào?","Tôi không biết câu trả lời dựa trên các đoạn văn đã cho. Các đoạn văn đề cập đến các di tích lịch sử và văn hóa khác, chẳng hạn như quần thể di tích Đình - Đền - Lăng (mộ) thôn Hương Lan, chùa Phúc Lâm và chùa An Vinh. Chúng không cung cấp thông tin về các bảo vật hoặc hiện vật quý giá được tìm thấy ở chùa Hương."
Chùa Hương tọa lạc tại vị trí nào?,Tôi không biết câu trả lời. Các đoạn văn bản được cung cấp không chứa thông tin về vị trí của Chùa Hương. Các đoạn văn bản được cung cấp chứa thông tin về Chùa Cát Tường và Chùa Bảo Ngạn.
Những ngôi chùa nào gần ngôi chùa Hương?,"Tôi xin lỗi, nhưng đoạn văn bản được cung cấp không chứa thông tin về các ngôi chùa gần chùa Hương."
Chùa Hương thờ ai?,"Tôi xin lỗi, nhưng thông tin được cung cấp không đề cập đến Chùa Hương."
Từng gian ở chùa Hương thờ ai?,Tôi không có đủ thông tin để trả lời câu hỏi này. Các đoạn văn bản được cung cấp không chứa thông tin về những người được thờ trong từng gian của chùa Hương. Các đoạn văn bản được cung cấp chỉ đề cập đến những người được thờ trong chùa Đống Lân và đền Thắm.
Những ngôi chùa nào thờ đức thánh Tản Viên?,"Đình Sơn Bao (đình Bầu) tọa lạc tại làng Bầu-Liên Bảo-Vĩnh Yên thờ ba vị thành hoàng, một trong số đó là Tản Viên Sơn Thánh. Nguyễn Tuấn được người đời gọi là Tản Viên Sơn Thánh."
Chùa Hương được xây dựng từ vật liệu nào?,Chùa Hang Tuyên Quang còn được biết đến với tên gọi khác là chùa Hương Nghiêm. Chùa được xây dựng chủ đạo bằng đá trong một khuôn viên khép kín theo kiến trúc chùa cổ. Toàn bộ công trình này được dựng trên một gò đất cao (tục gọi là Gò Chùa) nổi lên giữa cánh đồng làng.
"Chùa Hương có những gian, tòa nào?","Chùa Hương có các gian và tòa sau: tòa đại bái, tòa hậu cung cấm, tiền tế và đại đình. Tòa đại bái mới được xây dựng trên nền móng cũ (1995-2002) gồm 3 gian 2 trái. Tòa hậu cung cấm gồm một gian trên thượng cung. Tiền tế đình Hương Canh gồm 3 gian, toà đại đình 5 gian 2 dĩ."
Những câu chuyện liên quan tới chùa Hương?,"Du khách đến chùa Hương không chỉ được đắm mình trong không gian tĩnh mịch, cầu chúc những điều tốt lành mà còn được nghe kể về quãng thời gian “thăng trầm” của chùa. Chùa Hang còn được biết đến với tên gọi khác là chùa Hương Nghiêm. Về lịch sử chùa Hang Tuyên Quang, đây là ngôi chùa được xây dựng từ thế kỷ XVI."
Chi tiết về lễ hội chùa Hương?,"Lễ hội chùa Hang có các nghi thức dâng hương, rước kiệu, tạ ơn các vị thần suối, thần sông. Phần hội có nhiều trò chơi như tung còn, bắn cung, đi cầu kiều, đẩy gậy, chọi gà, tung vòng cổ vịt, biểu diễn văn hóa, văn nghệ. Du khách có nhiều trải nghiệm du lịch đáng nhớ."
Những sự kiện lịch sử quan trọng đã diễn ra tại chùa Hương?,"Tôi không biết câu trả lời dựa trên các đoạn văn đã cho. Các đoạn văn đề cập đến chùa Đán ở Thái Nguyên, chùa Hang ở Tuyên Quang và chùa Xuân Lũng, chùa Phổ Quang. Không có thông tin nào về các sự kiện lịch sử quan trọng đã diễn ra tại chùa Hương."
"Ai là người sáng lập, đứng đầu đầu tiên của chùa Hương?","Tôi không biết câu trả lời dựa trên thông tin đã cho. Các đoạn văn bản cung cấp thông tin về lịch sử và các tên gọi khác nhau của chùa, nhưng không đề cập đến người sáng lập hoặc người đứng đầu đầu tiên của chùa Hương."
Vị Đức thánh Tản Viên sáng lập ra những ngôi chùa nào?,"Tôi xin lỗi, nhưng đoạn văn bản được cung cấp không chứa thông tin về việc Đức thánh Tản Viên sáng lập ra những ngôi chùa nào."
Những vị nổi tiếng nào từng trụ trì tại chùa Hương?,Tôi không biết câu trả lời. Các đoạn văn bản không chứa thông tin về những người nổi tiếng từng trụ trì tại chùa Hương.
Chùa Hương có ảnh hưởng như thế nào đến cộng đồng địa phương?,Tôi không có đủ thông tin để trả lời câu hỏi này. Các đoạn văn bản được cung cấp không chứa thông tin về Chùa Hương. Các đoạn văn bản được cung cấp đề cập đến Chùa Hang Thái Nguyên và Chùa Bồng Lai.
Đền Bảo Hà tọa lạc tại vị trí nào?,"Đền Bảo Hà tọa lạc tại Thôn Bảo Vinh, xã Bảo Hà, huyện Bảo Yên, tỉnh Lào Cai. Ngôi đền nằm dựa lưng vào chân núi Cấm và hướng mặt về phía sông Hồng. Đền cách thành phố Lào Cai khoảng 60km về hướng Nam, từ ga Bảo Yên đi xuống khoảng 1km."
Đền Bảo Hà thờ ai?,Đền Bảo Hà thờ vị danh tướng Quan Hoàng Bẩy. Ông là người có công bảo vệ vùng biên cương đất nước. Ông cũng là người giúp người dân khai hoang lập nghiệp.
Đền Bảo Hà tổ chức lễ hội vào ngày nào?,"Đền Bảo Hà thường có 4 dịp lễ thu hút nhiều du khách, trong đó những ngày lễ chính là: Lễ thượng nguyên (Rằm tháng Giêng), lễ tiệc quan tuần tranh (25 tháng 5 Âm lịch), ngày giỗ ông Hoàng Bảy (17). Trong những ngày lễ hội, quần thể di tích tấp nập người với không khí sôi nổi, hào hứng từ các phần hội ca hát, các điệu múa truyền thống, các trò chơi dân gian cho tới những nghi lễ cầu an, tế lễ, khai hội, dâng hương đều được tổ chức một cách chỉn chu."
